id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
679,Neomay 500 000 IU/g Powder for Use in Drinking Water/Milk Replacer,42204/4001,Neomycin,,POM-V,Powder for use in drinking water/milk,Antimicrobial,g,655,Aminoglycosides,Oral Powder,
956,"Locatim, Oral Solution for Neonatal Calves Less Than 12 Hours of Age",42275/5000,Bovine concentrated lactoserum,,POM-VPS,Oral solution,Lactoserum,,,,,
650,"Cadorex 300 mg/ml Solution for Injection for Cattle, Sheep and Pigs",43173/4002,Florfenicol,,POM-V,Solution for injection,Antimicrobial,,,,,
593,Multimin Solution for Injection for Cattle,42511/4000,"Copper, Manganese, Selenium, Zinc",,POM-V,Solution for injection,Mineral,,,,,
695,Qivitan LC 75 mg Intramammary Ointment for Lactating Cows,43173/4007,Cefquinome,,POM-V,Intramammary ointment,Antimicrobial intramammary,items,75,3rd 4th cephalosporins,Intramammary lactating cow,
700,Vigophos 100 mg / ml + 0.05 mg / ml Solution for Injection for Cattle,43173/4008,"Butafosfan, Cyanocobalamin",,POM-V,Solution for injection,Gastrointestinal metabolic,,,,,
762,"Tullavis 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",43173/4017,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
767,Cryptisel 0.5 mg/ml Oral Solution for Calves,43173/4021,Halofuginone,,POM-V,Oral solution,Antiprotozoal,,,,,
626,"Linco-Spectin 100, 222/444.7 mg/g Powder for Use in Drinking Water for Pigs and Chickens",43877/4001,"Lincomycin, Spectinomycin",,POM-V,Powder for use in drinking water ,Antimicrobial,g,666.7,Multiple actives,Oral Powder,
675,Vecoxan 2.5 mg/ml Oral Suspension,43877/4009,Diclazuril,,POM-VPS,Oral suspension,Antiprotozoal anticoccidial,,,,,
