id,field_id,pasturetype_id
2549,18e07996-a1b9-46ff-a924-b081f39c90a5,2
2552,5fffa8fd-b130-4693-919d-b78b780f73a7,2
2558,7cddb897-e1ae-4b63-a0a1-8a02695c74e3,2
2564,319181b8-9457-49c4-8819-4d574cd65dca,4
2566,394366c4-2fad-45a1-bedb-6e534a2e3d23,4
2571,3ac00ca9-f1e1-4dfb-bb55-bdf1dc72b336,2
2578,59c82bff-739b-4ca3-b4d3-311adb36959d,5
2581,936c88fc-2636-41e5-9eb6-f939f6246fea,2
2586,d5f25ad7-d246-4227-b6b9-3ddf3cc491ed,5
2588,be68b898-05f1-42c7-ad4f-b8aeade2e0be,5
2589,a18bc9bc-7e02-4134-9f71-174371686d6f,1
2614,df1f1276-aa32-45cc-9579-0713ce22982e,2
9,f9195dcd-78e6-40bc-ba0e-af6da53a41d9,5
40,1b34528b-31a6-4329-ad0d-60d304ebc9f0,2
54,d6ed1b6a-777d-49ad-911d-c4d5732de102,2
57,d001cdb3-0988-4aa3-8e60-26e083ed302c,2
59,ed17c8a9-2f88-412f-81db-11f74800ead2,4
63,c8f2d835-dc71-4f9a-af97-fac189a8776e,5
67,46ac5481-1fef-4225-9bc6-3ca2e170eb4d,5
73,bcc25971-9ee8-47d8-9275-281c4e33a76f,5
95,dd91ac7b-68d5-4fc6-a3e8-08a4e8432006,5
114,3caa747c-4a60-489c-b08a-202f9b4fc04b,2
116,0d1498d5-890e-49f1-add6-756ad0381164,5
129,933fd703-b4bd-4464-be3b-4b158ea753fe,2
132,0f6e44ea-f004-485a-8c1c-8683554d3ef6,4
146,efb7405f-108d-4ceb-955d-fc11e5884f5b,2
150,059e2feb-81d6-4faf-8a65-37925b4ace77,2
155,81f4cce9-8592-4387-8f11-f9c7e4c73e8d,2
162,43b2ed57-af28-4802-accd-77d86a2a8575,2
163,9d1a157e-f74a-4cb4-b035-ef16c7ec2d81,2
176,48a77fda-6f38-4dd4-829f-542afcc02464,2
177,85289365-5920-49d0-b1d7-daaff2e6a1d3,2
180,7c2486c7-2c2a-4dfb-a4e2-f062bfb126b2,3
182,582d5ab1-0d84-4596-ac5f-da591f1c80c2,5
196,83d9a040-f90d-426b-9efc-0295b576ebe6,4
231,f93a0015-9890-4b8a-95a2-5046742d1992,2
234,12027c4e-f50d-4ba4-bca3-ad62ae338dea,4
239,87cb8f6e-c2a3-4380-8365-30df574ccbcd,1
