animal_id,brucellosis_id,trich_id,tsu_barcode,pedigree_id,tattoo,herd_dogg_id,uhf_id,breedr_id,alternative_id
63a0f877-1980-433d-bb58-b3de18f91328,,,,,,,,B-2308-GB037K-79BVVM,
c9a0375a-6664-4bee-84dd-3a4bc874c716,,,,,,,,B-230K-GB037K-4YH57H,
e08b2d7c-4a2d-4fd4-b3e3-9456bc7b9824,,,,,,,,B-230D-GB037K-CY4Q6Y,
4f15ba63-564a-49b5-bd06-187bca782273,,,,,,,,B-230T-GB037K-X85PSX,
b70f6e5c-a0a7-4b0b-9bed-ee37f5853c38,,,,,,,,B-2303-GB037K-4CHDF6,
e0ccf100-0c22-468e-bce0-20eaaaf1dc14,,,,,,,,B-230S-GB037K-WL0DYW,
d5328262-ba23-45e6-8fb1-b7ef77d100a1,,,,,,,,B-2303-GB037K-MBW83T,
66efe458-3762-40f8-a87b-9030804e95ae,,,,,,,,B-230D-GB037K-GM4GRW,
8edc8c55-ee1d-4303-a04e-5261529b5db2,,,,,,,,B-2306-GB037K-Y37YZX,
fe232bf8-1697-4993-9c1f-daab57c10edf,,,,,,,,B-230Y-GB037K-NMXZBC,
4e682816-8f5e-404b-954a-af25eeeb20c7,,,,,,,,B-230S-GB037K-5B8SBT,
bd6b975e-0547-43f2-9e62-c8459e257806,,,,,,,,B-230X-GB037K-NH8XMW,
a735fec1-1d34-456a-b46a-db3893f104db,,,,,,,,B-230N-GB037K-T4N1GG,
9c9b7e11-e024-47fe-ad3f-7b5b130f1b83,,,,,,,,B-230D-GB037K-1R2VST,
0543830f-d978-435f-a6d2-3affb01aa83c,,,,,,,,B-230P-GB037K-GYC6L1,
3d1b6096-8528-40be-9136-c0fbee0a0409,,,,,,,,B-230V-GB037K-LVBP54,
63c51867-4d23-4d84-acd8-a877a6011c36,,,,,,,,B-230V-GB037K-R77C14,
54cf06ec-84b3-4cdd-a7c8-e6639a634855,,,,,,,,B-230N-GB037K-GZKBVD,
6bb6289a-11ac-411e-a1d0-4adaa0f6b974,,,,,,,,B-2306-GB037K-6CCGP1,
0c2cbea2-9b54-48b6-a255-46a526300542,,,,,,,,B-230F-GB037K-5JBDM9,
ab7d9a4a-a3f4-489c-95f6-11ed678549b0,,,,,,,,B-230D-GB037K-00C3WY,
26781a67-e991-479c-948a-3ac8ed7c0c70,,,,,,,,B-230N-GB037K-SV77MV,
e687fdc4-f885-44f2-9fc0-825602ab3158,,,,,,,,B-2308-GB037K-KF5KF1,
271c4d38-15d9-48ac-9d7c-f50f342d820e,,,,,,,,B-2309-GB037K-81YC5F,
e90a213d-9214-47b8-97c5-b8f6516ee30d,,,,,,,,B-230Z-GB037K-BNNV48,
36464cde-376e-4905-8e6e-2b9f5b50f6ac,,,,,,,,B-2307-GB037K-75GWYG,
6b16b4b8-9133-456c-a68c-358245e273e3,,,,,,,,B-230G-GB037K-9FWCFZ,
817c7a05-6fb8-47a5-8d32-7fde6d4b4cb1,,,,,,,,B-230L-GB037K-MF79GG,
d7a80cab-a8ed-4e70-8d6a-8531ecd2d9d7,,,,,,,,B-230Q-GB037K-V0NCN3,
3cbdf922-6d25-4a37-96de-2c76d8e27744,,,,,,,,B-230L-GB037K-TVMWTJ,
7cc80a5c-c9cd-4f94-9c03-206e273ba25e,,,,,,,,B-230R-GB037K-MWKV5L,
a821368e-b667-4708-868f-e5d1d372d8e3,,,,,,,,B-230J-GB037K-2L8DY5,
1a86b86a-9752-4970-954f-64dde17567d4,,,,,,,,B-230L-GB037K-6W8V36,
a01e39b7-d3a3-4294-adcd-97d4bc050383,,,,,,,,B-230X-GB037K-MN42CZ,
c561c12b-7be1-4fcf-9413-5b26cb590f59,,,,,,,,B-2301-GB037K-4YJ4DT,
417225e4-d671-486f-853e-685e0fa8c4d1,,,,,,,,B-230P-GB037K-S7Y01L,
888c2139-771a-470e-a2ba-97ab06263b60,,,,,,,,B-2307-GB037K-KTSMJV,
5ff806ec-bba9-4105-a67b-132dab6ce8b4,,,,,,,,B-230F-GB037K-B19MBQ,
114a1804-b167-4533-b5d2-5733591ce5db,,,,,,,,B-230C-GB037K-XDND6Q,
c4823188-e9e7-4f73-8b6b-c198de6e9ef3,,,,,,,,B-230V-GB037K-FWF45Q,
8c6748b0-8942-4ac3-8af2-95c9732c595c,,,,,,,,B-2301-GB037K-PJ25C4,
5de7ab3a-4bbf-4892-9709-37b7dd0e3492,,,,,,,,B-230L-GB037K-N85Y77,
30af59e6-1ced-4d0b-82af-c1b2c3b8562b,,,,,,,,B-2308-GB037K-CJ1MK2,
96b9f38e-c600-4cc4-ae8b-025b579bb6af,,,,,,,,B-230G-GB037K-YTXCCZ,
6ec13b00-476e-4ff1-8735-3ab79b4fb9a5,,,,,,,,B-230N-GB037K-F47J34,
267387f8-faea-4f92-b0e4-8de10af42b56,,,,,,,,B-2304-GB037K-JQ160K,
a830501a-010d-4f33-be76-9e420b4b8cba,,,,,,,,B-2308-GB037K-CH9TFS,
1493f341-3231-4c9c-950c-c623e9c53516,,,,,,,,B-2307-GB037K-YQLXGJ,
d56949c4-7ddd-40d5-ac83-72c1ee1758a8,,,,,,,,B-230Q-GB037K-VQF42F,
7e8ee97b-b223-477a-84a9-baef1a5fdb03,,,,,,,,B-230Y-GB037K-S2Y9P2,
0e506764-c4e0-45fc-a47a-71196819ccf8,,,,,,,,B-230W-GB037K-5TMC2R,
77068f6c-24b7-4f43-811a-8c868027d248,,,,,,,,B-230Z-GB037K-FGCG14,
996a3ccd-02bb-4217-867d-2e01f8beb862,,,,,,,,B-230F-GB037K-3YB7H7,
3873163d-60a2-440b-91aa-e9903ea15236,,,,,,,,B-230V-GB037K-VLDKB1,
ee190171-ca2b-4a88-9a71-86024433464c,,,,,,,,B-230F-GB037K-WP1W1T,
7b7a7362-09be-4ab1-8de1-f0241d79eb80,,,,,,,,B-2305-GB037K-GN7HBX,
08f88e1f-7ee3-4c52-8876-47902e75bfc6,,,,,,,,B-230L-GB037K-FP8VGT,
b046a593-a952-4b95-af2e-78c94e77e3d6,,,,,,,,B-230J-GB037K-S0VB59,
8091fa8e-1bbb-41fd-8b4f-ea355f640bc1,,,,,,,,B-2302-GB037K-88DHWP,
d981a07c-de8f-4546-a8ed-45d77b18e82e,,,,,,,,B-2306-GB037K-QKKDL9,
ba103b3a-d10a-4dab-a222-f56277a9efa0,,,,,,,,B-230N-GB037K-LY5C2F,
d105e5cb-b6f8-4b0d-88cd-281fc47e0217,,,,,,,,B-230H-GB037K-48JSXS,
711324dc-fdd4-4676-ad01-cdf72761afeb,,,,,,,,B-230S-GB037K-R7QZ00,
dc6105c9-f04e-4a6a-8b18-5aed301814a3,,,,,,,,B-230F-GB037K-4SNV1W,
ddfcc222-bc46-4460-bd06-e35a539344cb,,,,,,,,B-230Y-GB037K-28GT52,
affc71e8-ae23-49d1-b03c-15f85d55cb0a,,,,,,,,B-2308-GB037K-T1SC14,
e0f5d5df-2f38-4583-be9e-2a226a583f51,,,,,,,,B-230B-GB037K-W0BGG3,
ead78669-f157-494e-9345-a6a9d45ce623,,,,,,,,B-2301-GB037K-YKZWD6,
e23b1341-3436-4815-a65e-69f3eb8c1046,,,,,,,,B-230Y-GB037K-KJY9TQ,
0b4e5344-ae6a-4942-bf67-293a0b305e6f,,,,,,,,B-230G-GB037K-KZRDN1,
325eb7e4-b176-4975-8c84-5d4579ee847f,,,,,,,,B-230D-GB037K-BL32RG,
a080d453-0391-4fc0-a77a-0c6e2ccad31c,,,,,,,,B-2302-GB037K-BLQJFD,
