Unique Ref,Tranche,Level 1,Level 2,Level 3,Level 4,Complex Type,Attribute,Description,Mandatory ?,Data Type,Accepted Values,Validation,Drop-Down/Metaval
612,POLICY,Household Policy,interestedParty,n/a,n/a,interestedParty,addressLine3,,Optional,xs:string (32),,,
613,POLICY,Household Policy,interestedParty,n/a,n/a,interestedParty,addressLine4,,Optional,xs:string (32),,,
614,POLICY,Household Policy,interestedParty,n/a,n/a,interestedParty,addressNameOrNumber,,Optional,xs:string (30),,,
615,POLICY,Household Policy,interestedParty,n/a,n/a,interestedParty,nameLine,,Conditional,xs:string (152),,,
616,POLICY,Household Policy,interestedParty,n/a,n/a,interestedParty,postCode,,Optional,xs:string (8),,,
617,POLICY,Household Policy,interestedParty,n/a,n/a,interestedParty,sortCode,The sort code of this Named Party's mortgage account,Optional,xs:string (6),,,
618,POLICY,Household Policy,previousHouseholdInsurance,n/a,n/a,previousHouseholdInsurance,continuousYears,The number of years the previous insurance was held for,Optional,xs:int,,,
619,POLICY,Household Policy,previousHouseholdInsurance,n/a,n/a,previousHouseholdInsurance,insurerCode,The previous Insurer's code,Optional,xs:string (100),,,
620,POLICY,Household Policy,previousHouseholdInsurance,n/a,n/a,previousHouseholdInsurance,insurerName,,Optional,xs:string (100),,,
621,POLICY,Household Policy,previousHouseholdInsurance,n/a,n/a,previousHouseholdInsurance,policyExpiryDate,,Optional,xs:dateTime,,,
622,POLICY,Household Policy,previousHouseholdInsurance,n/a,n/a,previousHouseholdInsurance,policyNumber,The previous insurance policy number,Optional,xs:string (100),,,
623,POLICY,Household Policy,previousHouseholdInsurance,n/a,n/a,previousHouseholdInsurance,riskType,,Optional,xs:string (255),Household Risk Type (1466),,Yes
624,POLICY,Household Policy,specifiedContentItem,n/a,n/a,specifiedContentsItem,id,Optional sequence number for XML model,Optional,string (255),,,
625,POLICY,Household Policy,specifiedContentItem,n/a,n/a,specifiedContentsItem,category,,Mandatory,xs:string (255),Specified Contents (1481),,Yes
626,POLICY,Household Policy,specifiedContentItem,n/a,n/a,specifiedContentsItem,description,,Mandatory,xs:string (100),,,
627,POLICY,Household Policy,specifiedContentItem,n/a,n/a,specifiedContentsItem,Value,,Mandatory,xs:long,,,
628,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,mndtref,The bank auto debit mandate reference,Mandatory,string(50),,,
629,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,accntitle,,,string(200),,,
630,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,paymentInterval,Type of payment interval,Optional,string(1),,,
631,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
632,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
633,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
634,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Client,Client reference for the policy,,int ( 4 ),,,
635,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
636,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,No,Installment book number ,,int ( 4 ),,,
637,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Deposit,Deposit paid ,,money ( 8 ),,,
638,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Charges,Interest applicable,,money ( 8 ),,,
639,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Inst,Installment amounts,,money ( 8 ),,,
640,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,RepNo,Number of installments,,int ( 4 ),,,
641,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Loan,Total loan amount ,,money ( 8 ),,,
642,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Owed,Outstanding balance ,,money ( 8 ),,,
643,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Scheme,Payment  option scheme number ,,varchar ( 255 ),,,
644,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Referenc,PCL book number of dd's and amounts I.E 10*  35.62 ,,varchar ( 255 ),,,
645,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Status,Status of the installment book ,,varchar ( 255 ),,,
646,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,Pay,Method of payment I.E Direct debit monthly or funded via Premium credit,,varchar ( 255 ),,,
647,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,LDate,Should match the Date field however the field is not populated in CDL B screen,,datetime ( 8 ),,,
648,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,PLess,Paperless mandate; unused field,,varchar ( 255 ),,,
649,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,BXDate,N/A,,datetime ( 8 ),,,
650,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,BankName,Name of bank account holder,,varchar ( 255 ),,,
651,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,BankAcc,Bank account number ,,varchar ( 255 ),,,
652,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,BankCode,Bank account sort code ,,varchar ( 255 ),,,
653,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,CardNo,N/A,,varchar ( 255 ),,,
654,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,CardStar,N/A,,varchar ( 255 ),,,
655,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,CardEnd,N/A,,varchar ( 255 ),,,
656,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,CardIssu,N/A,,varchar ( 255 ),,,
657,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,IntFlat,N/A,,money ( 8 ),,,
658,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,IntPerc,N/A,,money ( 8 ),,,
659,POLICY,Pet,instalmentBookDetail,n/a,n/a,instalmentBookDetail,PSPID,N/A,,varchar ( 255 ),,,
660,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
661,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
662,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
663,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Client,Client reference for the policy,,int ( 4 ),,,
664,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Name,Policy holders full name EG Title initial and surname.,,varchar ( 255 ),,,
665,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Title,Policy holders title ,,varchar ( 255 ),,,
666,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Surname,Policy holders surname,,varchar ( 255 ),,,
667,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Forename,Forename,,varchar ( 255 ),,,
668,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Hon,N/A,,varchar ( 255 ),,,
669,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Salutati,Salutation ,,varchar ( 255 ),,,
670,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Addr1,1st Line of the policyholders address,,varchar ( 255 ),,,
671,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Addr2,2nd Line of the policyholders address,,varchar ( 255 ),,,
672,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Addr3,3rd Line of the policyholders address,,varchar ( 255 ),,,
673,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Addr4,4th Line of the policyholders address,,varchar ( 255 ),,,
674,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Postcode,Postcode,,varchar ( 255 ),,,
675,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Phone,Policy holders primary contact Tel.No,,varchar ( 255 ),,,
676,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Fax,Policy holders secondary contact Tel.No,,varchar ( 255 ),,,
677,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Mar,Marital Status,,varchar ( 255 ),,,
678,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Sex,Sex,,varchar ( 255 ),,,
679,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,DOB,Date of birth,,datetime ( 8 ),,,
680,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Age,Clients age,,int ( 4 ),,,
681,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,UKBorn,Where they born in the UK,,varchar ( 255 ),,,
682,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Ctry,Country of birth Denoted by a two letter codeexample shown opposite; ZZ for not asked.,,varchar ( 255 ),,,
683,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Country,Name of the country of birth   ,,varchar ( 255 ),,,
684,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,ResDate,Date the policy holder became a UK resident,,datetime ( 8 ),,,
685,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,YrsAb,N/A,,int ( 4 ),,,
686,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Occ,Primary Occupation identified by digits,,varchar ( 255 ),,,
687,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Occup,Primary Occupation/Job title ,,varchar ( 255 ),,,
688,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,OccC,Employment status I.E E=Employed R=Retired S=Self Employed etc.,,varchar ( 255 ),,,
689,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,EOcc,Employers business identified by digits,,varchar ( 255 ),,,
690,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,EOccup,Description of employers business EG Accountancy,,varchar ( 255 ),,,
691,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,EOccC,Part time occupation identified by digits,,varchar ( 255 ),,,
692,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,POcc,Part-time occupation/ part-time Job title ,,varchar ( 255 ),,,
693,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,POccup,Part-time Employment status,,varchar ( 255 ),,,
694,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,PEOcc,Part-time Employers business identified by digits,,varchar ( 255 ),,,
695,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,PEOccup,Part-time Employers business   ,,varchar ( 255 ),,,
696,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Abode,Description of abode type,,varchar ( 255 ),,,
697,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Smok,Is the policy holder a smoker,,varchar ( 255 ),,,
698,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Org,Name of breakdown organisation,,varchar ( 255 ),,,
699,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Conv,Criminal convictions,,varchar ( 255 ),,,
700,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Decl,PH ever been refused insurance,,varchar ( 255 ),,,
701,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Pay,N/A,,varchar ( 255 ),,,
702,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Cred,N/A,,varchar ( 255 ),,,
703,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Lic,Type of driving licence ,,varchar ( 255 ),,,
704,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Test,When was the licence obtained,,datetime ( 8 ),,,
705,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,NTests,Number of driving tests,,int ( 4 ),,,
706,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Exp,N/A,,varchar ( 255 ),,,
707,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,ExpDate,N/A,,datetime ( 8 ),,,
708,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Cbran,Branch code ,,varchar ( 255 ),,,
709,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Cexec,Client exec code ,,varchar ( 255 ),,,
710,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Cclass,,,varchar ( 255 ),,,
711,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,NOP,Highest number of policy lines,,int ( 4 ),,,
712,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Unall,N/A,,float ( 8 ),,,
713,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Aux,Forms part of the client key made up of two criteria screen eample shown opposite.,,varchar ( 255 ),,,
714,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Memo,Bottom of D screen in CDL program one miscellaneous notes,,varchar ( 255 ),,,
715,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,FSAClass,FSA class of business I.E R=Retail C=Commercial,,varchar ( 255 ),,,
716,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Field1,Userfield1,,varchar ( 255 ),,,
717,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Field2,Userfield2,,varchar ( 255 ),,,
718,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Field3,Userfield3,,varchar ( 255 ),,,
719,CLIENT,Pet,Client Personal Data,n/a,n/a,Client Personal Data,Field4,Userfield4,,varchar ( 255 ),,,
720,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
721,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
722,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
723,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,Client,Client reference for the policy,,int ( 4 ),,,
724,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
725,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,Sect,CDL number; Relates to the screen section being viewed,,int ( 4 ),,,
726,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,Line,,,int ( 4 ),,,
727,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,CONNAM,Contact name,,varchar ( 255 ),,,
728,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,CONTCT1,N/A ,,varchar ( 255 ),,,
729,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,EMAIL,Contacts email address,,varchar ( 255 ),,,
730,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,EXTNNO,Extension Number,,varchar ( 255 ),,,
731,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,MOBILE,Mobile Tel No.,,varchar ( 255 ),,,
732,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,POSITION,Position,,varchar ( 255 ),,,
733,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,TELNO,Telephone Number ,,varchar ( 255 ),,,
734,CLIENT,Pet,Client Addiional Details,n/a,n/a,Client Addiional Details,WEBADDR,Web address,,varchar ( 255 ),,,
735,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
736,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
737,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
738,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,Client,Client reference for the policy,,int ( 4 ),,,
739,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
740,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,Sect,CDL number; Relates to the screen section being viewed,,int ( 4 ),,,
741,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,Line,N/A ,,int ( 4 ),,,
742,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,BUSDES1,Business description,,varchar ( 255 ),,,
743,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,BUSDES2,Business description,,varchar ( 255 ),,,
744,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,BUSDES3,Business description,,varchar ( 255 ),,,
745,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,FTITLE1,Full title ,,varchar ( 255 ),,,
746,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,FTITLE2,Full title ,,varchar ( 255 ),,,
747,CLIENT,Pet,Client Business Details,n/a,n/a,Client Business Details,YREST,Year business established,,varchar ( 255 ),,,
748,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
749,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
750,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
751,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,Client,Client reference for the policy,,int ( 4 ),,,
752,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
753,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,Sect,CDL number; Relates to the screen section being viewed,,int ( 4 ),,,
754,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,Line,N/A ,,int ( 4 ),,,
755,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,COREG,Company registered number ,,varchar ( 255 ),,,
756,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,SUBCO1,Subsidiary Co. 1 ,,varchar ( 255 ),,,
757,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,SUBCO2,Subsidiary Co. 2   ,,varchar ( 255 ),,,
758,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,SUBDES1,Business Desc.,,varchar ( 255 ),,,
759,CLIENT,Pet,Client Company Details,n/a,n/a,Client Company Details,SUBDES2,Business Desc.,,varchar ( 255 ),,,
760,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
761,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
762,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
763,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,Client,Client reference for the policy,,int ( 4 ),,,
764,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
765,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,Sect,CDL number; Relates to the screen section being viewed,,int ( 4 ),,,
766,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,Line,N/A ,,int ( 4 ),,,
767,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,EMAIL,Email address,,varchar ( 255 ),,,
768,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,HOME,N/A ,,varchar ( 255 ),,,
769,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,LETTER,N/A ,,varchar ( 255 ),,,
770,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,PASSWORD,,,varchar ( 255 ),,,
771,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,USERNAME,,,varchar ( 255 ),,,
772,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,WEBADDR,Clients email address if recorded by the operator,,varchar ( 255 ),,,
773,CLIENT,Pet,Internet / Mailing ,n/a,n/a,Internet / Mailing ,WORK,,,varchar ( 255 ),,,
774,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
775,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
776,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
777,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Client,Client reference for the policy,,int ( 4 ),,,
778,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
779,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Ptype,Policy type identified by alpha numeric digits in correspondence with the PX tables PX1=PC PX2=MC etc,,varchar ( 255 ),,,
780,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Co,Insurance Company code (I.E HX  for provident) ,,varchar ( 255 ),,,
781,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Pol,Policy Number,,varchar ( 255 ),,,
782,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Pexec,Operators user code ,,varchar ( 255 ),,,
783,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Sub,N/A,,varchar ( 255 ),,,
784,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Split,N/A,,float ( 8 ),,,
785,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,HostNo,Policy line number the claim is attached to,,int ( 4 ),,,
786,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,HostPT,The Host PT I.E PC; follows the Host Policy Ref,,varchar ( 255 ),,,
787,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Incep,Inception date of the policy,,datetime ( 8 ),,,
788,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Renewal,Renewal date of the policy ,,datetime ( 8 ),,,
789,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Scheme,Insurers scheme code,,varchar ( 255 ),,,
790,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Pay,Payment type I.E Cash or Installment,,varchar ( 255 ),,,
791,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,VAT,VAT,,varchar ( 255 ),,,
792,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,ClaimRef,Claim reference number or contact ,,varchar ( 255 ),,,
793,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,IncDate,Date incident occurred ,,datetime ( 8 ),,,
794,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,IncTime,Time incident occurred ,,datetime ( 8 ),,,
795,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Reported,Date claim reported ,,datetime ( 8 ),,,
796,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Status,Status of the claim I.E N=New etc,,varchar ( 255 ),,,
797,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,EstCost,Estimated claim cost,,money ( 8 ),,,
798,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Paid,Amount of claim paid to date ,,money ( 8 ),,,
799,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Reserve,Reserve amount held for the claim,,money ( 8 ),,,
800,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Settled,Date claim was settled ,,datetime ( 8 ),,,
801,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Final,Final settlement amount,,money ( 8 ),,,
802,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Balance,N/A,,money ( 8 ),,,
803,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,LTranDat,N/A,,datetime ( 8 ),,,
804,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,Inv,N/A,,int ( 4 ),,,
805,POLICY,Pet,FNOL ,n/a,n/a,FNOL ,URev,N/A,,varchar ( 255 ),,,
806,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
807,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
808,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
809,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,Client,Client reference for the policy,,int ( 4 ),,,
810,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
811,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,AGEMTH,Age in mths,,varchar ( 255 ),,,
812,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,AGER,,,varchar ( 255 ),,,
813,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,AGEYR,Age in years ,,varchar ( 255 ),,,
814,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,AGGRESS,Aggressive tendencies ,,varchar ( 255 ),,,
815,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,AREAR,Area Rating,,varchar ( 255 ),,,
816,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,BREED,Breed of the dog or cat,,varchar ( 255 ),,,
817,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,BREEDR,,,varchar ( 255 ),,,
818,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,CODE,Coded selection number for the breed,,varchar ( 255 ),,,
819,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,COINS,N/A,,varchar ( 255 ),,,
820,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,COINSV,This is a percentage amount that relates to the amount the insured will need to pay of the remaining claim amount less the policy excess in the event of having to claim against the policy. ,,varchar ( 255 ),,,
821,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,DESC,Colour + description of pet,,varchar ( 255 ),,,
822,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,DOB,Pets date of birth,,varchar ( 255 ),,,
823,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,EXCESS2,Compulsory policy excess applicable to any claim,,varchar ( 255 ),,,
824,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,GUARD,Is the dog used as a guard or racing dog ,,varchar ( 255 ),,,
825,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,LEGAL,Any legal proceedings brought against the owner,,varchar ( 255 ),,,
826,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,NAME,Pet Name,,varchar ( 255 ),,,
827,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,POLYRS,,,varchar ( 255 ),,,
828,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,PPRICE,Pet purchase price ,,varchar ( 255 ),,,
829,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,PRODC,Insurers product code,,varchar ( 255 ),,,
